Employee_ID,Employee_Name,Age,Country,Department,Position,Salary,Joining_Date
21067,Ava Moore,39.0,USA,Finance,Developer,54322.67,2021-08-18
14454,Sophia Martinez,49.0,Australia,Support,Manager,138376.1,2015-07-21
12477,Daniel Martinez,34.0,Canada,Marketing,Developer,77806.57,2017-03-09
10328,Ava Hernandez,35.0,Brazil,Marketing,Analyst,117625.72,2024-05-15
8228,Daniel Anderson,47.0,Brazil,Marketing,Developer,67077.91,2021-07-14
6356,Ethan Anderson,49.0,UK,Support,Developer,74537.88,2018-10-28
8058,Mason Thomas,60.0,UK,HR,Consultant,135217.46,2023-06-22
17916,Lily Jackson,32.0,UK,Support,Analyst,33466.26,2024-12-11
25106,Mia Hernandez,37.0,France,Engineering,Consultant,78168.09,2019-08-11
3946,Lily Wilson,30.0,Brazil,HR,Consultant,126936.88,2019-02-07
19854,Ethan Brown,38.0,USA,Finance,Consultant,132317.99,2019-06-29
19121,Mia Davis,48.0,Australia,Finance,Consultant,69691.82,2020-12-28
9243,Ava Hernandez,35.0,France,HR,Analyst,95445.8,2025-02-06
17156,Emma Moore,53.0,USA,Finance,Analyst,67268.22,2018-04-22
252,Emma Davis,32.0,Japan,Sales,Executive,93574.47,2016-01-12
19964,Ethan Thomas,56.0,France,HR,Analyst,88164.29,2018-11-18
10812,Mason Wilson,23.0,Mexico,Engineering,Consultant,101910.22,2024-04-01
9514,Ethan Thomas,34.0,Brazil,HR,Assistant,139451.85,2020-06-09
28958,Sophia Anderson,33.0,UK,Marketing,Executive,137482.8,2016-11-28
23589,Logan Davis,26.0,France,HR,Manager,80657.28,2017-11-25
602,Lucas Martinez,55.0,Germany,Marketing,Assistant,115487.7,2022-01-25
12590,Lucas Martinez,47.0,UK,Finance,Developer,92931.09,2024-02-09
995,Mia Martinez,39.0,UK,Sales,Developer,104028.38,2018-01-04
8120,Ethan Wilson,47.0,India,Support,Analyst,147403.84,2019-11-11
6856,Emma Wilson,47.0,Mexico,Marketing,Assistant,136635.22,2022-01-04
